track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6NkGl2nBsVpQcxvXKg5dvq,Pixelated Memories,Pandrezz,42,3w3r4NKZpydiHCWb2qJfwe,Pixelated Memories,2019-06-13,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.67,0.312,0,-10.179,1,0.0282,0.754,0.918,0.127,0.24,108.062,107000
17XgxMFNzBYv38TEJRC18D,The Hell Song,Sum 41,57,2kLmv0O8blKeM5HKxLtQrC,Does This Look Infected?,2002-01-01,2000's hard rock,0EmGNFBBgqLmvdQGPbgiMp,rock,hard rock,0.359,0.935,8,-5.529,0,0.0817,0.000143,0.0141,0.351,0.658,173.429,198493
459tqykAvuDfgPrWT1XsLn,Alignment,Guustavv,33,4m2xqgJlpPXgWwaz9NNBRY,Sova,2019-11-22,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.211,0.262,4,-11.892,0,0.0356,0.932,0.972,0.207,0.112,78.263,149500
4CWdxj4u0CfBxnLEeVfVTl,Captain Quirck,Bassjackers,36,6MnnkXC0DBgjc9mFxJ585V,The Biggest,2019-11-22,Sick Big Room House Drops | EZUMI,4R4c3WdN1Any2Q1NSuec3r,edm,big room,0.721,0.737,10,-6.659,0,0.052,0.0125,0.624,0.346,0.544,132.018,212770
735RSTb2xbtWbDtKD9XDYi,Somebody,Internet Money,83,2tGRWs8mrUVyjgbMIQpWQN,Somebody,2019-10-11,RapCaviar,37i9dQZF1DX0XUsuxWHRQd,rap,hip hop,0.63,0.671,6,-6.659,0,0.256,0.363,0.0,0.113,0.333,89.921,174333
5WZPTq3NoLhIys3RyPF5Ye,La Película II,Yan Collazo,39,0U0shFxqYSSjHADZ6N97FE,Salsa Premier,2019-10-04,Paraiso Tropical,37i9dQZF1DWYey22ryYM8U,latin,tropical,0.709,0.802,9,-4.269,0,0.0853,0.651,3.14e-06,0.0507,0.857,177.066,257484
1ZD2z0jIc7Uv4vzAPlZyRg,One More Romance,Bobby Delante,0,1wRcRg5hkDaCeB9Qv803sp,Tazmania Freestyle Vol 5,2008-09-17,Latin Hip Hop/Freestyle,2MYEUjX0YAI9dxrBDzoCK7,latin,latin hip hop,0.65,0.885,4,-11.123,0,0.0458,0.125,3.98e-05,0.29,0.665,125.081,257333
66BjgQodHebiX5QGpBAjyQ,Tell It Like It Is,Aaron Neville,52,5p30oP23JCMDwHXM7f6ECa,The Very Best Of Aaron Neville,2000-01-11,The 1950s/1960s/1970s/1980s/1990s/2000s/2010s with pop/r&b/soul/boogie/dance/jazz/hip hop/hop/rap.,1S7BckuYIkEazeNKOSM0uA,r&b,urban contemporary,0.542,0.461,2,-7.071,0,0.0286,0.465,0.0,0.177,0.629,94.214,164560
506dJMMkoPkz92gynWj0pJ,Caribbean Rave - Instrumental Mix,W&W,23,0SPKMV4kn3NWGgJo1Z7qP6,Caribbean Rave,2016-10-31,Big Room House | Festival Bangers,5Bx5niVgi3qGQQw06C0RKq,edm,big room,0.66,0.95,4,-1.452,0,0.0579,0.00114,0.166,0.0891,0.383,127.99,213750
3RJuptH9QoeJWzHd4ZCI0u,Lullabies - Adventure Club Remix,Yuna,54,7D2toenyHJ9NaVFRgY5get,Lullabies,2014-05-06,EDM TROPICAL,3pS63EDS40FVGYL41zAcU4,latin,tropical,0.403,0.698,9,-5.058,0,0.0357,0.00171,0.00126,0.256,0.0833,159.869,252954
